name,lng,lat
第三人民医院(西)(对侧),118.402791,31.325222
第三十三中学(公交站),118.405381,31.464596
第三十三中学(对侧),118.405000,31.464780
第三中学(公交站),118.377791,31.330405
第三中学(对侧),118.378205,31.330339
第十二中学·市口腔医院(公交站),118.372612,31.300343
第十二中学·市口腔医院(对侧),118.373000,31.300120
第十一中学(公交站),118.365376,31.343215
第十一中学(对侧),118.364839,31.343316
第四人民医院·市中医院(北)(公交站),118.381706,31.298328
第四人民医院·市中医院(北)(对侧),118.382153,31.298423
第五人民医院(公交站),118.402336,31.337723
第五人民医院(对侧),118.401851,31.337827
第五人民医院(南)(公交站),118.404770,31.335304
第五人民医院(南)(对侧),118.405211,31.335300
第一人民医院(公交站),118.454449,31.355937
第一人民医院(对侧),118.453838,31.356015
第一人民医院经开院区(公交站),118.373330,31.407680
第一人民医院经开院区(对侧),118.372856,31.407831
第一中学(公交站),118.431836,31.360486
第一中学(对侧),118.432162,31.360615
第一中学东门(公交站),118.439032,31.357808
第一中学西(公交站),118.429411,31.359844
第一中学西(对侧),118.428802,31.359740
电厂新奥中心(公交站),118.360187,31.440556
电厂新奥中心(对侧),118.359865,31.440462
电讯大楼(公交站),118.368050,31.332920
电讯大楼(对侧),118.367790,31.332890
雕塑公园(公交站),118.415749,31.348337
雕塑公园(对侧),118.416138,31.348164
雕塑公园北(公交站),118.415812,31.354857
雕塑公园北(对侧),118.416133,31.354760
东外街(公交站),118.389171,31.322014
东鑫管业(公交站),118.505104,31.353609
东鑫管业(对侧),118.504833,31.353490
段家园(公交站),118.398253,31.331299
段家园(对侧),118.397790,31.331188
峨山东路(公交站),118.382042,31.276320
峨山东路(对侧),118.381869,31.276159
二街(公交站),118.374849,31.324723
二街(对侧),118.375117,31.324550
二炮干休所(公交站),118.403620,31.339861
二炮干休所(对侧),118.404200,31.339845
二十里(公交站),118.403509,31.412265
二十里(对侧),118.404155,31.412421
方特东方神画·水上乐园(公交站),118.464663,31.355306
方特东方神画·水上乐园(对侧),118.465211,31.355300
方特欢乐世界北(公交站),118.374562,31.381272
方特欢乐世界南(公交站),118.373420,31.374792
方特欢乐世界南(对侧),118.372802,31.374860
方特梦幻王国(公交站),118.457536,31.356131
方特梦幻王国(对侧),118.458148,31.356228
方特梦幻王国(赤铸山东路)(公交站),118.457404,31.356362
方特梦幻王国(赤铸山东路)(对侧),118.456861,31.356435
凤凰美食街(公交站),118.369592,31.337999
凤凰美食街(对侧),118.370018,31.337821
